State1-alias,Reset_state_Australia-alias,Lga Code21-alias,SUM(Pivot Field Values (copy))-alias,ATTR(map_suppress_text)-alias,ATTR(Lga Name)-alias,ATTR(main_RA)-alias,ATTR(main_SEIFA)-alias
Queensland,Aus,35790,0.8651211802,%null%,Palm Island,3 (Remote),1 (most disadvantaged)
Queensland,Aus,35760,0.9475779958,%null%,North Burnett,2 (Outer regional),1 (most disadvantaged)
Queensland,Aus,35740,0.6673816479,%null%,Noosa,0 (Major cities),5 (least disadvantage)
Queensland,Aus,35670,0.9569055421,%null%,Napranum,4 (Very remote),1 (most disadvantaged)
Queensland,Aus,35600,0.9337660756,%null%,Murweh,4 (Very remote),2
Queensland,Aus,35300,0.7737298045,%null%,Mount Isa,3 (Remote),3
Queensland,Aus,35010,0.7956947138,%null%,Moreton Bay,0 (Major cities),4
Queensland,Aus,34880,0.7649895211,%null%,Mareeba,2 (Outer regional),2
Queensland,Aus,34860,0.6695772289,%null%,Maranoa,2 (Outer regional),4
Queensland,Aus,34800,0.7868235862,%null%,McKinlay,4 (Very remote),4
Queensland,Aus,34770,0.7825383482,%null%,Mackay,1 (Inner regional),4
Queensland,Aus,34710,0.9428241144,%null%,Longreach,4 (Very remote),4
Queensland,Aus,34590,0.8935028952,%null%,Logan,0 (Major cities),2
Queensland,Aus,34580,0.9476060442,%null%,Lockyer Valley,1 (Inner regional),2
Queensland,Aus,34530,0.8270799761,%null%,Livingstone,1 (Inner regional),4
Queensland,Aus,33980,0.6243709728,%null%,Isaac,2 (Outer regional),4
Queensland,Aus,33960,0.8695650663,%null%,Ipswich,0 (Major cities),2
Queensland,Aus,33800,0.9377736491,%null%,Hinchinbrook,2 (Outer regional),2
Queensland,Aus,33620,0.874990942,%null%,Gympie,1 (Inner regional),2
Queensland,Aus,33610,0.7148006415,%null%,Goondiwindi,2 (Outer regional),2
Queensland,Aus,33430,0.8447973039,%null%,Gold Coast,0 (Major cities),4
Queensland,Aus,33360,0.8109425881,%null%,Gladstone,1 (Inner regional),2
Queensland,Aus,33220,0.9371265431,%null%,Fraser Coast,1 (Inner regional),1 (most disadvantaged)
Queensland,Aus,33200,0.8794131124,%null%,Flinders (Qld),4 (Very remote),3
Queensland,Aus,33100,0.8658076298,%null%,Etheridge,4 (Very remote),3
Queensland,Aus,32810,0.8514072844,%null%,Douglas,2 (Outer regional),3
Queensland,Aus,32600,0.8652325374,%null%,Croydon,4 (Very remote),1 (most disadvantaged)
Queensland,Aus,32500,0.9675537699,%null%,Cook,3 (Remote),1 (most disadvantaged)
Queensland,Aus,32450,0.928181802,%null%,Cloncurry,3 (Remote),3
Queensland,Aus,32330,0.9397752809,%null%,Cherbourg,1 (Inner regional),1 (most disadvantaged)
Queensland,Aus,32310,0.8299287244,%null%,Charters Towers,2 (Outer regional),2
Queensland,Aus,32270,0.6847354632,%null%,Central Highlands (Qld),2 (Outer regional),4
Queensland,Aus,32260,0.7585454049,%null%,Cassowary Coast,2 (Outer regional),2
Queensland,Aus,32250,0.9316093714,%null%,Carpentaria,4 (Very remote),1 (most disadvantaged)
Queensland,Aus,32080,0.8473765549,%null%,Cairns,2 (Outer regional),3
Queensland,Aus,31900,0.9355565854,%null%,Burdekin,2 (Outer regional),3
Queensland,Aus,31820,0.8772943745,%null%,Bundaberg,1 (Inner regional),1 (most disadvantaged)
Queensland,Aus,31000,0.6988991408,%null%,Brisbane,0 (Major cities),5 (least disadvantage)
Queensland,Aus,30760,0.9434697856,%null%,Blackall Tambo,4 (Very remote),2
Queensland,Aus,30410,0.9333724789,%null%,Barcaldine,4 (Very remote),4
Queensland,Aus,30370,0.8778784878,%null%,Banana,2 (Outer regional),4
Queensland,Aus,30300,0.9344631212,%null%,Balonne,3 (Remote),2
OT,Aus,99399,0.9510775042,%null%,Unincorp. Other Territories,4 (Very remote),3
NT,Aus,79399,0.9489766003,%null%,Unincorporated NT,4 (Very remote),5 (least disadvantage)
NT,Aus,74680,0.9869439072,%null%,West Daly,3 (Remote),1 (most disadvantaged)
NT,Aus,74660,0.9725932792,%null%,West Arnhem,4 (Very remote),1 (most disadvantaged)
NT,Aus,74550,0.9783425791,%null%,Victoria Daly,4 (Very remote),1 (most disadvantaged)
NT,Aus,73600,0.9759198353,%null%,Roper Gulf,4 (Very remote),1 (most disadvantaged)
NT,Aus,72800,0.9547643112,%null%,Palmerston,2 (Outer regional),4
NT,Aus,72330,0.9831132168,%null%,MacDonnell,4 (Very remote),1 (most disadvantaged)
NT,Aus,72300,0.931596487,%null%,Litchfield,2 (Outer regional),5 (least disadvantage)
NT,Aus,72200,0.8491894433,%null%,Katherine,3 (Remote),2
NT,Aus,71300,0.97993685,%null%,East Arnhem,4 (Very remote),1 (most disadvantaged)
NT,Aus,71000,0.8850544206,%null%,Darwin,2 (Outer regional),5 (least disadvantage)
NT,Aus,70700,0.975689789,%null%,Coomalie,3 (Remote),1 (most disadvantaged)
NT,Aus,70620,0.9827336204,%null%,Central Desert,4 (Very remote),1 (most disadvantaged)
NT,Aus,70420,0.9667499546,%null%,Barkly,4 (Very remote),1 (most disadvantaged)
NT,Aus,70200,0.8411282997,%null%,Alice Springs,3 (Remote),4
NSW,Aus,19399,0.8399019163,%null%,Unincorporated NSW,4 (Very remote),5 (least disadvantage)
NSW,Aus,18710,0.8162604641,%null%,Yass Valley,1 (Inner regional),5 (least disadvantage)
NSW,Aus,18500,0.5665882029,%null%,Woollahra,0 (Major cities),5 (least disadvantage)
NSW,Aus,18450,0.8464960089,%null%,Wollongong,0 (Major cities),4
NSW,Aus,18400,0.9583487067,%null%,Wollondilly,1 (Inner regional),5 (least disadvantage)
NSW,Aus,18350,0.8381140412,%null%,Wingecarribee,1 (Inner regional),5 (least disadvantage)
NSW,Aus,18250,0.7707927728,%null%,Willoughby,0 (Major cities),5 (least disadvantage)
NSW,Aus,18200,0.8467013483,%null%,Wentworth,2 (Outer regional),3
NSW,Aus,18100,0.9521633245,%null%,Weddin,2 (Outer regional),2
NSW,Aus,18050,0.6199151318,%null%,Waverley,0 (Major cities),5 (least disadvantage)
NSW,Aus,18020,0.91322528,%null%,Warrumbungle,2 (Outer regional),1 (most disadvantaged)
NSW,Aus,17950,0.9338541013,%null%,Warren,2 (Outer regional),2
NSW,Aus,17900,0.9412913451,%null%,Walgett,3 (Remote),1 (most disadvantaged)
NSW,Aus,17850,0.8476319952,%null%,Walcha,2 (Outer regional),4
NSW,Aus,17750,0.8385184858,%null%,Wagga Wagga,1 (Inner regional),3
NSW,Aus,17650,0.832494959,%null%,Uralla,1 (Inner regional),3
NSW,Aus,17640,0.8963854449,%null%,Upper Lachlan,1 (Inner regional),4
NSW,Aus,17620,0.8817056563,%null%,Upper Hunter,1 (Inner regional),3
NSW,Aus,17550,0.8386917237,%null%,Tweed,0 (Major cities),3
NSW,Aus,17420,0.9119197868,%null%,The Hills,0 (Major cities),5 (least disadvantage)
NSW,Aus,17400,0.9339404404,%null%,Tenterfield,2 (Outer regional),1 (most disadvantaged)
NSW,Aus,17350,0.9027795314,%null%,Temora,2 (Outer regional),3
NSW,Aus,17310,0.7732497897,%null%,Tamworth,1 (Inner regional),2
NSW,Aus,17200,0.7336385383,%null%,Sydney,0 (Major cities),5 (least disadvantage)
NSW,Aus,17150,0.7638921295,%null%,Sutherland,0 (Major cities),5 (least disadvantage)
NSW,Aus,17100,0.9568587301,%null%,Strathfield,0 (Major cities),4
NSW,Aus,17080,0.9338066202,%null%,Snowy Valleys,1 (Inner regional),2
NSW,Aus,17040,0.9334906048,%null%,Snowy Monaro,2 (Outer regional),4
NSW,Aus,17000,0.911276205,%null%,Singleton,1 (Inner regional),4
NSW,Aus,16950,0.9151427085,%null%,Shoalhaven,1 (Inner regional),3
NSW,Aus,16900,0.9010126157,%null%,Shellharbour,0 (Major cities),3
NSW,Aus,16700,0.8152045694,%null%,Ryde,0 (Major cities),5 (least disadvantage)
NSW,Aus,16610,0.9133765071,%null%,Richmond Valley,1 (Inner regional),1 (most disadvantaged)
NSW,Aus,16550,0.7547418071,%null%,Randwick,0 (Major cities),5 (least disadvantage)
NSW,Aus,16490,0.5794798252,%null%,Queanbeyan-Palerang,0 (Major cities),5 (least disadvantage)
NSW,Aus,16400,0.8744474916,%null%,Port Stephens,1 (Inner regional),3
NSW,Aus,16380,0.9238124899,%null%,Port Macquarie-Hastings,1 (Inner regional),3
NSW,Aus,16350,0.9623914366,%null%,Penrith,0 (Major cities),3
NSW,Aus,16260,0.9258902865,%null%,Parramatta,0 (Major cities),5 (least disadvantage)
NSW,Aus,16200,0.9152166271,%null%,Parkes,2 (Outer regional),2
NSW,Aus,16150,0.8804180919,%null%,Orange,1 (Inner regional),4
NSW,Aus,16100,0.9647174216,%null%,Oberon,1 (Inner regional),3
NSW,Aus,15990,0.6773312064,%null%,Northern Beaches,0 (Major cities),5 (least disadvantage)
NSW,Aus,15950,0.649116491,%null%,North Sydney,0 (Major cities),5 (least disadvantage)
NSW,Aus,15900,0.6399540118,%null%,Newcastle,0 (Major cities),4
NSW,Aus,15850,0.8808812166,%null%,Narromine,2 (Outer regional),2
NSW,Aus,15800,0.9185812877,%null%,Narrandera,2 (Outer regional),1 (most disadvantaged)
NSW,Aus,15750,0.9613090247,%null%,Narrabri,2 (Outer regional),2
NSW,Aus,15700,0.8620831561,%null%,Nambucca Valley,1 (Inner regional),1 (most disadvantaged)
NSW,Aus,15650,0.9454946302,%null%,Muswellbrook,1 (Inner regional),2
NSW,Aus,15560,0.893590144,%null%,Murrumbidgee,2 (Outer regional),3
NSW,Aus,15520,0.7615840367,%null%,Murray River,1 (Inner regional),4
NSW,Aus,15350,0.5338463634,%null%,Mosman,0 (Major cities),5 (least disadvantage)
NSW,Aus,15300,0.841495305,%null%,Moree Plains,2 (Outer regional),2
NSW,Aus,15270,0.8249142686,%null%,Mid-Western,1 (Inner regional),3
NSW,Aus,15240,0.8908767778,%null%,Mid-Coast,1 (Inner regional),2
NSW,Aus,15050,0.7306045554,%null%,Maitland,0 (Major cities),3
NSW,Aus,14950,0.8957969418,%null%,Lockhart,2 (Outer regional),3
NSW,Aus,14920,0.8924391645,%null%,Liverpool Plains,2 (Outer regional),1 (most disadvantaged)
NSW,Aus,14900,0.9788269874,%null%,Liverpool,0 (Major cities),2
NSW,Aus,14870,0.9023849392,%null%,Lithgow,1 (Inner regional),2
NSW,Aus,14850,0.8302037355,%null%,Lismore,1 (Inner regional),3
NSW,Aus,14750,0.8565366055,%null%,Leeton,2 (Outer regional),2
NSW,Aus,14700,0.6970889795,%null%,Lane Cove,0 (Major cities),5 (least disadvantage)
NSW,Aus,14650,0.7057529395,%null%,Lake Macquarie,0 (Major cities),4
NSW,Aus,14600,0.9415655384,%null%,Lachlan,3 (Remote),2
NSW,Aus,14550,0.9263078999,%null%,Kyogle,1 (Inner regional),1 (most disadvantaged)
NSW,Aus,14500,0.7296990583,%null%,Ku-ring-gai,0 (Major cities),5 (least disadvantage)
NSW,Aus,14400,0.7429781813,%null%,Kiama,0 (Major cities),5 (least disadvantage)
NSW,Aus,14350,0.9467380709,%null%,Kempsey,1 (Inner regional),1 (most disadvantaged)
NSW,Aus,14300,0.9545298065,%null%,Junee,1 (Inner regional),2
NSW,Aus,14220,0.7415052216,%null%,Inverell,2 (Outer regional),1 (most disadvantaged)
NSW,Aus,14170,0.7466781421,%null%,Inner West,0 (Major cities),5 (least disadvantage)
NSW,Aus,14100,0.6934442842,%null%,Hunters Hill,0 (Major cities),5 (least disadvantage)
NSW,Aus,14000,0.8545084063,%null%,Hornsby,0 (Major cities),5 (least disadvantage)
NSW,Aus,13910,0.9473381138,%null%,Hilltops,1 (Inner regional),2
NSW,Aus,13850,0.9618561911,%null%,Hay,2 (Outer regional),2
NSW,Aus,13800,0.899280066,%null%,Hawkesbury,0 (Major cities),4
NSW,Aus,13660,0.9291967293,%null%,Gwydir,2 (Outer regional),2
NSW,Aus,13550,0.8344281256,%null%,Gunnedah,2 (Outer regional),3
NSW,Aus,13450,0.8564309762,%null%,Griffith,2 (Outer regional),3
NSW,Aus,13340,0.8634823795,%null%,Greater Hume,1 (Inner regional),4
NSW,Aus,13310,0.9213498424,%null%,Goulburn Mulwaree,1 (Inner regional),3
NSW,Aus,13010,0.83760028,%null%,Glen Innes Severn,1 (Inner regional),1 (most disadvantaged)
NSW,Aus,12950,0.9550313757,%null%,Gilgandra,2 (Outer regional),2
NSW,Aus,12930,0.8719373862,%null%,Georges River,0 (Major cities),4
NSW,Aus,12900,0.9370496703,%null%,Forbes,2 (Outer regional),3
NSW,Aus,12870,0.8417230676,%null%,Federation,1 (Inner regional),3
NSW,Aus,12850,0.9888081647,%null%,Fairfield,0 (Major cities),1 (most disadvantaged)
NSW,Aus,12750,0.8548066135,%null%,Eurobodalla,1 (Inner regional),3
NSW,Aus,12730,0.8416106207,%null%,Edward River,1 (Inner regional),3
NSW,Aus,12700,0.8266748694,%null%,Dungog,1 (Inner regional),4
NSW,Aus,12390,0.8419439987,%null%,Dubbo,1 (Inner regional),3
NSW,Aus,12380,0.9827202003,%null%,Cumberland,0 (Major cities),1 (most disadvantaged)
NSW,Aus,12350,0.9258052654,%null%,Cowra,1 (Inner regional),2
NSW,Aus,12160,0.9165432562,%null%,Cootamundra-Gundagai,1 (Inner regional),2
NSW,Aus,12150,0.9716744725,%null%,Coonamble,3 (Remote),1 (most disadvantaged)
NSW,Aus,12000,0.9182320922,%null%,Coolamon,1 (Inner regional),3
NSW,Aus,11800,0.8582670031,%null%,Coffs Harbour,1 (Inner regional),3
NSW,Aus,11750,0.9658828999,%null%,Cobar,3 (Remote),3
NSW,Aus,11730,0.8372238922,%null%,Clarence Valley,1 (Inner regional),2
NSW,Aus,11720,0.8926905957,%null%,Cessnock,0 (Major cities),2
NSW,Aus,11700,0.9491629223,%null%,Central Darling,4 (Very remote),1 (most disadvantaged)
NSW,Aus,11650,0.799975071,%null%,Central Coast (NSW),0 (Major cities),4
NSW,Aus,11600,0.9113746778,%null%,Carrathool,3 (Remote),3
NSW,Aus,11570,0.9573313231,%null%,Canterbury-Bankstown,0 (Major cities),1 (most disadvantaged)
NSW,Aus,11520,0.8320001231,%null%,Canada Bay,0 (Major cities),5 (least disadvantage)
NSW,Aus,11500,0.9820890698,%null%,Campbelltown (NSW),0 (Major cities),2
NSW,Aus,11450,0.9446753243,%null%,Camden,0 (Major cities),5 (least disadvantage)
NSW,Aus,11400,0.8810215918,%null%,Cabonne,1 (Inner regional),4
NSW,Aus,11350,0.8022113559,%null%,Byron,1 (Inner regional),4
NSW,Aus,11300,0.9389825057,%null%,Burwood,0 (Major cities),3
NSW,Aus,11250,0.900829116,%null%,Broken Hill,2 (Outer regional),1 (most disadvantaged)
NSW,Aus,11200,0.9655644715,%null%,Brewarrina,4 (Very remote),1 (most disadvantaged)
NSW,Aus,11150,0.9728882365,%null%,Bourke,4 (Very remote),2
NSW,Aus,10950,0.947934495,%null%,Bogan,3 (Remote),3
NSW,Aus,10900,0.8458075732,%null%,Blue Mountains,0 (Major cities),5 (least disadvantage)
NSW,Aus,10850,0.9151061297,%null%,Blayney,1 (Inner regional),3
NSW,Aus,10800,0.9566089785,%null%,Bland,2 (Outer regional),4
NSW,Aus,10750,0.9769101659,%null%,Blacktown,0 (Major cities),3
NSW,Aus,10650,0.9645585314,%null%,Berrigan,1 (Inner regional),3
NSW,Aus,10600,0.8492768758,%null%,Bellingen,1 (Inner regional),3
NSW,Aus,10550,0.7954414496,%null%,Bega Valley,2 (Outer regional),3
NSW,Aus,10500,0.8563348976,%null%,Bayside (NSW),0 (Major cities),4
NSW,Aus,10470,0.9322735013,%null%,Bathurst,1 (Inner regional),4
NSW,Aus,10300,0.9348516043,%null%,Balranald,2 (Outer regional),2
NSW,Aus,10250,0.8485924782,%null%,Ballina,1 (Inner regional),4
NSW,Aus,10180,0.7699004307,%null%,Armidale,1 (Inner regional),3
NSW,Aus,10050,0.7881278764,%null%,Albury,1 (Inner regional),3
ACT,Aus,89399,0.5496999569,%null%,Unincorporated ACT,0 (Major cities),5 (least disadvantage)
