chart_4_series-alias,Type-alias,Type-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[none:type:nk]-alias,SUM(Pivot Field Values (currency format))-alias,SUM(Pivot Field Values)-value,SUM(Pivot Field Values)-alias,MONTH(Service Month)-value,MONTH(Service Month)-alias,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-value,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-alias,ATTR(chart_4_tooltip_variable_text2)-alias,ATTR(rolling_tooltip_text)-alias,ATTR(chart_4_tooltip_variable_text)-alias,ATTR(rolling 3 months average text)-alias,ATTR(rolling 3 months average text)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Calculation_892838648462733318:nk]-alias,ATTR(Description)-alias,ATTR(Description)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Description:nk]-alias,ATTR(Series tooltip)-alias,ATTR(Series tooltip)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Series (copy)_147492889927708672:nk]-alias,ATTR(State1)-alias,ATTR(State1)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:State:nk]-alias,Series-alias,Series (label)-alias,SUM(policy_event_ind)-alias
Total benefit,Total,Total,27405574.23,27405574.23,27405574.23,1984-02-01 00:00:00,February 1984,1991-12-01 00:00:00,December 1991,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,32056764.65,32056764.65,32056764.65,1984-03-01 00:00:00,March 1984,1992-01-01 00:00:00,January 1992,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,29859473.43,29859473.43,29859473.43,1984-04-01 00:00:00,April 1984,1992-02-01 00:00:00,February 1992,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,34649499.81,34649499.81,34649499.81,1984-05-01 00:00:00,May 1984,2004-02-01 00:00:00,February 2004,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 February 2004, the $4 billion Strengthening Medicare package in response to falling rates of bulk billing was introduced. Bulk billing incentives introduced for non-referred services involving children under 16 and concessional patients.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,34328930.56,34328930.56,34328930.56,1984-06-01 00:00:00,June 1984,2004-05-01 00:00:00,May 2004,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 May 2004, the introduction of additional bulk billing incentive item, 10991 to provide a higher incentive payment (compared to item 10990) for the bulk billing of children under 16 and concessional patients for attendances provided in regional, rural or remote areas, areas of health workforce shortage or the whole of Tasmania. Eligible areas have later been defined by Modified Monash areas.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,38416558.05,38416558.05,38416558.05,1984-07-01 00:00:00,July 1984,2005-01-01 00:00:00,January 2005,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 January 2005, rebates for non-hospital GP attendances increased to 100% of Schedule fee (not appliable to bulk billing incentive items). Also introduced was item 10992, which provided another incentive for the bulk billing of children under 16 and concessional patients receiving after-hours attendances provided in the areas defined under item 10991, in the specific case of the GP not being based in the eligible area, and therefore unable to claim item 10991.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,40210200.3,40210200.3,40210200.3,1984-08-01 00:00:00,August 1984,2014-07-01 00:00:00,July 2014,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"After 1 July 2014, a freeze on indexation to Schedule fees was introduced (known as the Medicare rebate freeze).",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,35302262.8,35302262.8,35302262.8,1984-09-01 00:00:00,September 1984,2017-07-01 00:00:00,July 2017,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 1 July 2017, re-introduction of indexation of Schedule fees in a phased lifting approach commenced. However, indexation did not extend to all Medicare items.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,39774779.6,39774779.6,39774779.6,1984-10-01 00:00:00,October 1984,2020-03-01 00:00:00,March 2020,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,37745437.3,37745437.3,37745437.3,1984-11-01 00:00:00,November 1984,2020-04-01 00:00:00,April 2020,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,32793099.35,32793099.35,32793099.35,1984-12-01 00:00:00,December 1984,2020-05-01 00:00:00,May 2020,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,35794802.15,35794802.15,35794802.15,1985-01-01 00:00:00,January 1985,2020-06-01 00:00:00,June 2020,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,34964464.45,34964464.45,34964464.45,1985-02-01 00:00:00,February 1985,2020-07-01 00:00:00,July 2020,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,38888822.85,38888822.85,38888822.85,1985-03-01 00:00:00,March 1985,2020-08-01 00:00:00,August 2020,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,38219805.7,38219805.7,38219805.7,1985-04-01 00:00:00,April 1985,2020-09-01 00:00:00,September 2020,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,42013006.15,42013006.15,42013006.15,1985-05-01 00:00:00,May 1985,2021-02-01 00:00:00,February 2021,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 26 February 2021 GP attendance items were introduced for assessing a patient's suitability for a COVID-19 vaccine. It is a requirement that these items are bulk billed. In addition, bulk billing incentives are not payable for these items.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,40469348.35,40469348.35,40469348.35,1985-06-01 00:00:00,June 1985,2023-11-01 00:00:00,November 2023,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 November 2023, new bulk billing items with higher incentive payments were introduced for certain types of GP consultations outside of hospital, for children under 16 and concessional patients. These payments are triple the amount of existing standard bulk billing incentive payments. In addition, the standard bulk billing incentive payments continue to be available for the remaining types of GP consultations.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,49389817.25,49389817.25,49389817.25,1985-07-01 00:00:00,July 1985,2025-07-01 00:00:00,July 2025,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 July 2025, COVID-19 vaccine support items were removed from the MBS. These were items claimed by GPs to assess a patient's suitability for the COVID-19 vaccine, and were removed to bring the MBS treatment of COVID-19 vaccines in line with other vaccines. GPs will be able to use general attendance items when providing COVID-19 vaccine support services.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,Total,46785417.75,46785417.75,46785417.75,1985-08-01 00:00:00,August 1985,2025-11-01 00:00:00,November 2025,, ,for bulk billed GP attendances (including related incentive items),%null%,%null%,%null%,"On 1 November 2025, bulk billing incentives, previously only eligible for patients under 16 years of age or who were a Commonwealth concession cardholder, were expanded to all Medicare-eligible patients when bulk billed.",In Aus,In Aus,Australia,Australia,Aus,Aus,6.000
Total benefit,Total,0,42782964.15,42782964.15,42782964.15,1985-09-01 00:00:00,September 1985,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,46048180.65,46048180.65,46048180.65,1985-10-01 00:00:00,October 1985,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,43261965.3,43261965.3,43261965.3,1985-11-01 00:00:00,November 1985,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,40597298.9,40597298.9,40597298.9,1985-12-01 00:00:00,December 1985,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,42047979.55,42047979.55,42047979.55,1986-01-01 00:00:00,January 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,41747045.9,41747045.9,41747045.9,1986-02-01 00:00:00,February 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,42860479.55,42860479.55,42860479.55,1986-03-01 00:00:00,March 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,47362733.4,47362733.4,47362733.4,1986-04-01 00:00:00,April 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,47353943.1,47353943.1,47353943.1,1986-05-01 00:00:00,May 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,46543733.3,46543733.3,46543733.3,1986-06-01 00:00:00,June 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,50453576,50453576,50453576,1986-07-01 00:00:00,July 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,48385232.35,48385232.35,48385232.35,1986-08-01 00:00:00,August 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,48725059.45,48725059.45,48725059.45,1986-09-01 00:00:00,September 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,50739310.35,50739310.35,50739310.35,1986-10-01 00:00:00,October 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,50359236.55,50359236.55,50359236.55,1986-11-01 00:00:00,November 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,52022666.15,52022666.15,52022666.15,1986-12-01 00:00:00,December 1986,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,51156665.25,51156665.25,51156665.25,1987-01-01 00:00:00,January 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,51795263.8,51795263.8,51795263.8,1987-02-01 00:00:00,February 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,58428041.6,58428041.6,58428041.6,1987-03-01 00:00:00,March 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,55227339.55,55227339.55,55227339.55,1987-04-01 00:00:00,April 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,58309605.8,58309605.8,58309605.8,1987-05-01 00:00:00,May 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,59422484.65,59422484.65,59422484.65,1987-06-01 00:00:00,June 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,61158198.45,61158198.45,61158198.45,1987-07-01 00:00:00,July 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,65473038.65,65473038.65,65473038.65,1987-08-01 00:00:00,August 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,64386738.75,64386738.75,64386738.75,1987-09-01 00:00:00,September 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,62358344.3,62358344.3,62358344.3,1987-10-01 00:00:00,October 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,62056632.95,62056632.95,62056632.95,1987-11-01 00:00:00,November 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,59170006.65,59170006.65,59170006.65,1987-12-01 00:00:00,December 1987,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,55333362.25,55333362.25,55333362.25,1988-01-01 00:00:00,January 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,63090161.9,63090161.9,63090161.9,1988-02-01 00:00:00,February 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,69330129.25,69330129.25,69330129.25,1988-03-01 00:00:00,March 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,59783268.85,59783268.85,59783268.85,1988-04-01 00:00:00,April 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,71970686.55,71970686.55,71970686.55,1988-05-01 00:00:00,May 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,72592456.05,72592456.05,72592456.05,1988-06-01 00:00:00,June 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,73268346.1,73268346.1,73268346.1,1988-07-01 00:00:00,July 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,78943909.05,78943909.05,78943909.05,1988-08-01 00:00:00,August 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,72192479.7,72192479.7,72192479.7,1988-09-01 00:00:00,September 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,71251972.4,71251972.4,71251972.4,1988-10-01 00:00:00,October 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,72381330.05,72381330.05,72381330.05,1988-11-01 00:00:00,November 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,67021588.85,67021588.85,67021588.85,1988-12-01 00:00:00,December 1988,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,66812964.2,66812964.2,66812964.2,1989-01-01 00:00:00,January 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,67766379.45,67766379.45,67766379.45,1989-02-01 00:00:00,February 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,73958480.05,73958480.05,73958480.05,1989-03-01 00:00:00,March 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,72618709.85,72618709.85,72618709.85,1989-04-01 00:00:00,April 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,84683974.75,84683974.75,84683974.75,1989-05-01 00:00:00,May 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,79570799.45,79570799.45,79570799.45,1989-06-01 00:00:00,June 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,81168525.55,81168525.55,81168525.55,1989-07-01 00:00:00,July 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,93401357.8,93401357.8,93401357.8,1989-08-01 00:00:00,August 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,86182415.15,86182415.15,86182415.15,1989-09-01 00:00:00,September 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,84910885.55,84910885.55,84910885.55,1989-10-01 00:00:00,October 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,84240574.35,84240574.35,84240574.35,1989-11-01 00:00:00,November 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,75724528.9,75724528.9,75724528.9,1989-12-01 00:00:00,December 1989,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,79156757.1,79156757.1,79156757.1,1990-01-01 00:00:00,January 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,79019464.3,79019464.3,79019464.3,1990-02-01 00:00:00,February 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,93330383.45,93330383.45,93330383.45,1990-03-01 00:00:00,March 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,82313859.55,82313859.55,82313859.55,1990-04-01 00:00:00,April 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,96924135.3,96924135.3,96924135.3,1990-05-01 00:00:00,May 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,88653366.05,88653366.05,88653366.05,1990-06-01 00:00:00,June 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,93582181.75,93582181.75,93582181.75,1990-07-01 00:00:00,July 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,101161622.75,101161622.75,101161622.75,1990-08-01 00:00:00,August 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,91020192.2,91020192.2,91020192.2,1990-09-01 00:00:00,September 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,98765503,98765503,98765503,1990-10-01 00:00:00,October 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,97065079,97065079,97065079,1990-11-01 00:00:00,November 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,86454675.7,86454675.7,86454675.7,1990-12-01 00:00:00,December 1990,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,93266713.15,93266713.15,93266713.15,1991-01-01 00:00:00,January 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,93684729.4,93684729.4,93684729.4,1991-02-01 00:00:00,February 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,100427893.2,100427893.2,100427893.2,1991-03-01 00:00:00,March 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,102867349.85,102867349.85,102867349.85,1991-04-01 00:00:00,April 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,112161915.7,112161915.7,112161915.7,1991-05-01 00:00:00,May 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,100786196.6,100786196.6,100786196.6,1991-06-01 00:00:00,June 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,113103270.6,113103270.6,113103270.6,1991-07-01 00:00:00,July 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,117305926.05,117305926.05,117305926.05,1991-08-01 00:00:00,August 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,107124221.05,107124221.05,107124221.05,1991-09-01 00:00:00,September 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,108807402.2,108807402.2,108807402.2,1991-10-01 00:00:00,October 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,105332298.95,105332298.95,105332298.95,1991-11-01 00:00:00,November 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,86126098.95,86126098.95,86126098.95,1991-12-01 00:00:00,December 1991,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,90207396.55,90207396.55,90207396.55,1992-01-01 00:00:00,January 1992,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",0,In Aus,0,Australia,0,0,0,0
