Age group series-alias,Type-alias,Type-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[none:type:nk]-alias,SUM(Pivot Field Values)-value,SUM(Pivot Field Values)-alias,MONTH(Service Month)-value,MONTH(Service Month)-alias,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-value,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-alias,ATTR(rolling_tooltip_text)-alias,ATTR(rolling 3 months average text)-alias,ATTR(rolling 3 months average text)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Calculation_892838648462733318:nk]-alias,ATTR(Description)-alias,ATTR(Description)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Description:nk]-alias,ATTR(Age Series tooltip )-alias,ATTR(State1)-alias,ATTR(State1)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:State:nk]-alias,Series-alias,Series (label)-alias,SUM(policy_event_ind)-alias,ATTR(Series tooltip)-alias
65+,Total,0,0.9006864931,0.9006864931,2013-02-01 00:00:00,February 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9093242074,0.9093242074,2013-03-01 00:00:00,March 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.903703902,0.903703902,2013-04-01 00:00:00,April 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9017269673,0.9017269673,2013-05-01 00:00:00,May 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9017937782,0.9017937782,2013-06-01 00:00:00,June 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9008139627,0.9008139627,2013-07-01 00:00:00,July 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9006726891,0.9006726891,2013-08-01 00:00:00,August 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9014763271,0.9014763271,2013-09-01 00:00:00,September 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9018736352,0.9018736352,2013-10-01 00:00:00,October 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9009399646,0.9009399646,2013-11-01 00:00:00,November 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8997345023,0.8997345023,2013-12-01 00:00:00,December 2013,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9036975598,0.9036975598,2014-01-01 00:00:00,January 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9033417195,0.9033417195,2014-02-01 00:00:00,February 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9118601734,0.9118601734,2014-03-01 00:00:00,March 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9072532114,0.9072532114,2014-04-01 00:00:00,April 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.903585872,0.903585872,2014-05-01 00:00:00,May 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9033639269,0.9033639269,2014-06-01 00:00:00,June 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9033569679,0.9033569679,2014-07-01 00:00:00,July 2014,0,0, ,%null%,0,"After 1 July 2014, a freeze on indexation to Schedule fees was introduced (known as the Medicare rebate freeze).",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9024915073,0.9024915073,2014-08-01 00:00:00,August 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9036241869,0.9036241869,2014-09-01 00:00:00,September 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9036151339,0.9036151339,2014-10-01 00:00:00,October 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9025625488,0.9025625488,2014-11-01 00:00:00,November 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9017979883,0.9017979883,2014-12-01 00:00:00,December 2014,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.902684746,0.902684746,2015-01-01 00:00:00,January 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9021291129,0.9021291129,2015-02-01 00:00:00,February 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9037762561,0.9037762561,2015-03-01 00:00:00,March 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9158127069,0.9158127069,2015-04-01 00:00:00,April 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9073804948,0.9073804948,2015-05-01 00:00:00,May 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9043583062,0.9043583062,2015-06-01 00:00:00,June 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9027091693,0.9027091693,2015-07-01 00:00:00,July 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.901747836,0.901747836,2015-08-01 00:00:00,August 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9022959012,0.9022959012,2015-09-01 00:00:00,September 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9025130484,0.9025130484,2015-10-01 00:00:00,October 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9021693098,0.9021693098,2015-11-01 00:00:00,November 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9031805639,0.9031805639,2015-12-01 00:00:00,December 2015,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9048044224,0.9048044224,2016-01-01 00:00:00,January 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9027049946,0.9027049946,2016-02-01 00:00:00,February 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9048994651,0.9048994651,2016-03-01 00:00:00,March 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9159269091,0.9159269091,2016-04-01 00:00:00,April 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9069476032,0.9069476032,2016-05-01 00:00:00,May 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9051655735,0.9051655735,2016-06-01 00:00:00,June 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9034548828,0.9034548828,2016-07-01 00:00:00,July 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9027408406,0.9027408406,2016-08-01 00:00:00,August 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9025743959,0.9025743959,2016-09-01 00:00:00,September 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9011556927,0.9011556927,2016-10-01 00:00:00,October 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9017029269,0.9017029269,2016-11-01 00:00:00,November 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9015473059,0.9015473059,2016-12-01 00:00:00,December 2016,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9026862934,0.9026862934,2017-01-01 00:00:00,January 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9034585688,0.9034585688,2017-02-01 00:00:00,February 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9046616219,0.9046616219,2017-03-01 00:00:00,March 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.916180777,0.916180777,2017-04-01 00:00:00,April 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9078929808,0.9078929808,2017-05-01 00:00:00,May 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9048694484,0.9048694484,2017-06-01 00:00:00,June 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9030482527,0.9030482527,2017-07-01 00:00:00,July 2017,0,0, ,%null%,0,"From 1 July 2017, re-introduction of indexation of Schedule fees in a phased lifting approach commenced. However, indexation did not extend to all Medicare items.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9023218827,0.9023218827,2017-08-01 00:00:00,August 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9025863782,0.9025863782,2017-09-01 00:00:00,September 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9010760546,0.9010760546,2017-10-01 00:00:00,October 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9017037368,0.9017037368,2017-11-01 00:00:00,November 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9015500178,0.9015500178,2017-12-01 00:00:00,December 2017,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9034223833,0.9034223833,2018-01-01 00:00:00,January 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9033598067,0.9033598067,2018-02-01 00:00:00,February 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9045150375,0.9045150375,2018-03-01 00:00:00,March 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9116219239,0.9116219239,2018-04-01 00:00:00,April 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9140742159,0.9140742159,2018-05-01 00:00:00,May 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9063743989,0.9063743989,2018-06-01 00:00:00,June 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9041353738,0.9041353738,2018-07-01 00:00:00,July 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9043291116,0.9043291116,2018-08-01 00:00:00,August 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9043445001,0.9043445001,2018-09-01 00:00:00,September 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.901999906,0.901999906,2018-10-01 00:00:00,October 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9018103692,0.9018103692,2018-11-01 00:00:00,November 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9008619607,0.9008619607,2018-12-01 00:00:00,December 2018,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9040315924,0.9040315924,2019-01-01 00:00:00,January 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9025380372,0.9025380372,2019-02-01 00:00:00,February 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9034786529,0.9034786529,2019-03-01 00:00:00,March 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9108454725,0.9108454725,2019-04-01 00:00:00,April 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9130477317,0.9130477317,2019-05-01 00:00:00,May 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9039321406,0.9039321406,2019-06-01 00:00:00,June 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9012090587,0.9012090587,2019-07-01 00:00:00,July 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9006593705,0.9006593705,2019-08-01 00:00:00,August 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8998932005,0.8998932005,2019-09-01 00:00:00,September 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8983963589,0.8983963589,2019-10-01 00:00:00,October 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8977956323,0.8977956323,2019-11-01 00:00:00,November 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8967640456,0.8967640456,2019-12-01 00:00:00,December 2019,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8997105596,0.8997105596,2020-01-01 00:00:00,January 2020,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8956163279,0.8956163279,2020-02-01 00:00:00,February 2020,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9142901927,0.9142901927,2020-03-01 00:00:00,March 2020,0,0, ,%null%,0,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9617174476,0.9617174476,2020-04-01 00:00:00,April 2020,0,0, ,%null%,0,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9461771988,0.9461771988,2020-05-01 00:00:00,May 2020,0,0, ,%null%,0,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9347839324,0.9347839324,2020-06-01 00:00:00,June 2020,0,0, ,%null%,0,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9348729696,0.9348729696,2020-07-01 00:00:00,July 2020,0,0, ,%null%,0,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.936320434,0.936320434,2020-08-01 00:00:00,August 2020,0,0, ,%null%,0,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.932133844,0.932133844,2020-09-01 00:00:00,September 2020,0,0, ,%null%,0,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9191675377,0.9191675377,2020-10-01 00:00:00,October 2020,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9142572754,0.9142572754,2020-11-01 00:00:00,November 2020,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9150329313,0.9150329313,2020-12-01 00:00:00,December 2020,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9164654521,0.9164654521,2021-01-01 00:00:00,January 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9124270894,0.9124270894,2021-02-01 00:00:00,February 2021,0,0, ,%null%,0,"On 26 February 2021 GP attendance items were introduced for assessing a patient's suitability for a COVID-19 vaccine. It is a requirement that these items are bulk billed. In addition, bulk billing incentives are not payable for these items.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9154721906,0.9154721906,2021-03-01 00:00:00,March 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9324423722,0.9324423722,2021-04-01 00:00:00,April 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9287307034,0.9287307034,2021-05-01 00:00:00,May 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9280117202,0.9280117202,2021-06-01 00:00:00,June 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9321149695,0.9321149695,2021-07-01 00:00:00,July 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9321517376,0.9321517376,2021-08-01 00:00:00,August 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9263292172,0.9263292172,2021-09-01 00:00:00,September 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9184098915,0.9184098915,2021-10-01 00:00:00,October 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9108572388,0.9108572388,2021-11-01 00:00:00,November 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9165506474,0.9165506474,2021-12-01 00:00:00,December 2021,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9294604256,0.9294604256,2022-01-01 00:00:00,January 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9157043822,0.9157043822,2022-02-01 00:00:00,February 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9068521734,0.9068521734,2022-03-01 00:00:00,March 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.921033263,0.921033263,2022-04-01 00:00:00,April 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9214243299,0.9214243299,2022-05-01 00:00:00,May 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9101406516,0.9101406516,2022-06-01 00:00:00,June 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.9004016796,0.9004016796,2022-07-01 00:00:00,July 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8876005411,0.8876005411,2022-08-01 00:00:00,August 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8797932841,0.8797932841,2022-09-01 00:00:00,September 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8708201741,0.8708201741,2022-10-01 00:00:00,October 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.866584894,0.866584894,2022-11-01 00:00:00,November 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8658273529,0.8658273529,2022-12-01 00:00:00,December 2022,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8570532008,0.8570532008,2023-01-01 00:00:00,January 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.855554594,0.855554594,2023-02-01 00:00:00,February 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8606365323,0.8606365323,2023-03-01 00:00:00,March 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8783346795,0.8783346795,2023-04-01 00:00:00,April 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.866845319,0.866845319,2023-05-01 00:00:00,May 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.854590941,0.854590941,2023-06-01 00:00:00,June 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8469899138,0.8469899138,2023-07-01 00:00:00,July 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8448940933,0.8448940933,2023-08-01 00:00:00,August 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8458210719,0.8458210719,2023-09-01 00:00:00,September 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8383395327,0.8383395327,2023-10-01 00:00:00,October 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8626954319,0.8626954319,2023-11-01 00:00:00,November 2023,0,0, ,%null%,0,"On 1 November 2023, new bulk billing items with higher incentive payments were introduced for certain types of GP consultations outside of hospital, for children under 16 and concessional patients. These payments are triple the amount of existing standard bulk billing incentive payments. In addition, the standard bulk billing incentive payments continue to be available for the remaining types of GP consultations.",0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8688898892,0.8688898892,2023-12-01 00:00:00,December 2023,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8698283906,0.8698283906,2024-01-01 00:00:00,January 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8686687887,0.8686687887,2024-02-01 00:00:00,February 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8707664679,0.8707664679,2024-03-01 00:00:00,March 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8844405219,0.8844405219,2024-04-01 00:00:00,April 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8823258253,0.8823258253,2024-05-01 00:00:00,May 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8756808596,0.8756808596,2024-06-01 00:00:00,June 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8716033567,0.8716033567,2024-07-01 00:00:00,July 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8711068795,0.8711068795,2024-08-01 00:00:00,August 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8720185707,0.8720185707,2024-09-01 00:00:00,September 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8695140372,0.8695140372,2024-10-01 00:00:00,October 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8677130695,0.8677130695,2024-11-01 00:00:00,November 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8694304564,0.8694304564,2024-12-01 00:00:00,December 2024,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8715014675,0.8715014675,2025-01-01 00:00:00,January 2025,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8709015554,0.8709015554,2025-02-01 00:00:00,February 2025,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8745055999,0.8745055999,2025-03-01 00:00:00,March 2025,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8905913777,0.8905913777,2025-04-01 00:00:00,April 2025,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8859160436,0.8859160436,2025-05-01 00:00:00,May 2025,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
65+,Total,0,0.8804937026,0.8804937026,2025-06-01 00:00:00,June 2025,0,0, ,%null%,0,%null%,0,For 65+ year olds,Australia,0,0,0,0,0
